,Mkt-RF,SMB,HML,RF
199101,4.69,3.76,-1.74,0.52
199102,7.19,3.96,-0.55,0.48
199103,2.65,3.92,-1.32,0.44
199104,-0.28,0.49,1.48,0.53
199105,3.65,-0.35,-0.57,0.47
199106,-4.94,0.08,1.23,0.42
199107,4.24,-0.93,-1.25,0.49
199108,2.32,1.59,-0.83,0.46
199109,-1.59,1.64,-0.98,0.46
199110,1.29,0.88,-0.47,0.42
199111,-4.19,-0.48,-1.85,0.39
199112,10.84,-2.26,-4.11,0.38
199201,-0.59,8.49,4.61,0.34
199202,1.09,0.87,6.37,0.28
199203,-2.66,-1.04,3.61,0.34
199204,1.07,-6.12,4.27,0.32
199205,0.3,0.4,1.25,0.28
199206,-2.34,-3.1,3.36,0.32
199207,3.77,-0.42,-0.37,0.31
199208,-2.38,-0.13,-1.06,0.26
199209,1.19,0.58,-0.28,0.26
199210,1.02,2.03,-2.01,0.23
199211,4.13,3.69,-1.4,0.23
199212,1.53,1.63,2.63,0.28
199301,0.93,1.98,5.92,0.23
199302,0.12,-3.47,6.41,0.22
199303,2.3,0.23,1.31,0.25
199304,-3.05,-0.66,2.52,0.24
199305,2.89,1.98,-3.45,0.22
199306,0.31,-0.32,2.72,0.25
199307,-0.34,0.89,2.82,0.24
199308,3.71,0.15,0.13,0.25
199309,-0.12,3.02,-0.25,0.26
199310,1.41,2.04,-2.72,0.22
199311,-1.89,-1.22,-0.77,0.25
199312,1.65,1.22,0.36,0.23
199401,2.87,0.4,1.13,0.25
199402,-2.55,2.8,-1.59,0.21
199403,-4.78,-1.14,1.63,0.27
199404,0.68,-0.98,1.66,0.27
199405,0.58,-2.13,0.66,0.31
199406,-3.03,-0.42,1.72,0.31
199407,2.82,-1.8,0.56,0.28
199408,4.01,1.42,-2.47,0.37
199409,-2.31,3.12,-1.87,0.37
199410,1.34,-2.23,-1.66,0.38
199411,-4.04,0.26,-0.69,0.37
199412,0.86,0.3,-0.2,0.44
199501,1.8,-3.53,2.54,0.42
199502,3.63,-0.64,1.12,0.4
199503,2.19,-0.17,-2.15,0.46
199504,2.11,-0.53,1.71,0.44
199505,2.9,-2.55,2.23,0.54
199506,2.72,3.14,-2.5,0.47
199507,3.72,2.08,-1.63,0.45
199508,0.55,1.36,2.84,0.47
199509,3.35,-2.29,0.02,0.43
199510,-1.52,-3.82,-0.46,0.47
199511,3.96,-1.2,0.61,0.42
199512,1.03,0.64,0.33,0.49
199601,2.26,-2.63,0.22,0.43
199602,1.33,1.81,-1.16,0.39
199603,0.73,1.52,0.31,0.39
199604,2.06,5.24,-4.08,0.46
199605,2.36,3.08,-0.8,0.42
199606,-1.14,-3.91,2.26,0.4
199607,-5.97,-4.31,5.16,0.45
199608,2.77,2.44,-0.78,0.41
199609,5.01,-0.95,-2.76,0.44
199610,0.86,-4.45,4.92,0.42
199611,6.25,-4.07,1.46,0.41
199612,-1.7,3.08,1.33,0.46
199701,4.98,-1.93,-1.43,0.45
199702,-0.49,-3.29,5.7,0.39
199703,-5.02,-0.44,3.43,0.43
199704,4.04,-5.74,0.09,0.43
199705,6.74,5.16,-4.08,0.49
199706,4.1,1.19,1.62,0.37
199707,7.33,-2.7,0.2,0.43
199708,-4.15,7.33,1.12,0.41
199709,5.35,2.56,0.29,0.44
199710,-3.8,-0.8,2.33,0.42
199711,2.98,-5.11,1.24,0.39
199712,1.32,-2.66,4.03,0.48
199801,0.15,-1.02,-1.65,0.43
199802,7.04,0.26,-0.78,0.39
199803,4.76,-1.21,1.54,0.39
199804,0.73,0.03,0.89,0.43
199805,-3.07,-3.4,3.43,0.4
199806,3.18,-3.32,-1.8,0.41
199807,-2.46,-4.94,-1.71,0.4
199808,-16.08,-5.68,3.56,0.43
199809,6.15,0.06,-3.42,0.46
199810,7.13,-3.11,-2.21,0.32
199811,6.1,1.21,-3.16,0.31
199812,6.16,-0.54,-4.2,0.38
199901,3.5,0.81,-4.66,0.35
199902,-4.08,-6.08,1.91,0.35
199903,3.45,-3.76,-2.77,0.43
199904,4.33,3.98,2.34,0.37
199905,-2.46,3.33,2.36,0.34
199906,4.77,3.15,-3.4,0.4
199907,-3.49,2.55,-0.48,0.38
199908,-1.38,-1,-1.72,0.39
199909,-2.79,3.36,-3.42,0.39
199910,6.12,-6.75,-3.16,0.39
199911,3.37,7.17,-6.07,0.36
199912,7.72,7.07,-8.4,0.44
200001,-4.74,5.7,-1.75,0.41
200002,2.45,21.19,-8.94,0.43
200003,5.2,-16.82,7.66,0.47
200004,-6.4,-6.93,7.41,0.46
200005,-4.42,-6.33,5.01,0.5
200006,4.64,12.8,-8.22,0.4
200007,-2.51,-3.16,8.4,0.48
200008,7.03,-0.65,-1.47,0.5
200009,-5.45,-1.89,7.28,0.51
200010,-2.76,-3.87,5.71,0.56
200011,-10.72,-3.5,12.53,0.51
200012,1.19,0.73,7.67,0.5
200101,3.13,6.76,-5.33,0.54
200102,-10.05,-0.82,12.58,0.38
200103,-7.26,0.17,6.52,0.42
200104,7.94,0.61,-4.8,0.39
200105,0.72,2.53,3.34,0.32
200106,-1.94,6.25,-1.16,0.28
200107,-2.13,-4.23,5.35,0.3
200108,-6.46,2.48,2.33,0.31
200109,-9.25,-6.25,1.57,0.28
200110,2.46,7.57,-7.66,0.22
200111,7.54,-0.48,2.16,0.17
200112,1.61,4.79,0.9,0.15
200201,-1.44,1.18,3.38,0.14
200202,-2.29,-1.07,2.21,0.13
200203,4.24,4.14,1.08,0.13
200204,-5.2,5.84,3.96,0.15
200205,-1.38,-3.26,1.57,0.14
200206,-7.21,4.2,0.04,0.13
200207,-8.18,-5.22,-3.71,0.15
200208,0.5,-2.94,3.23,0.14
200209,-10.35,2.39,1.49,0.14
200210,7.84,-3.44,-4.07,0.14
200211,5.96,3.23,-1.51,0.12
200212,-5.76,-0.01,2.28,0.11
200301,-2.57,1.28,-0.86,0.1
200302,-1.88,-0.46,-1.33,0.09
200303,1.09,0.93,-2.15,0.1
200304,8.22,0.64,0.89,0.1
200305,6.05,4.49,0.11,0.09
200306,1.42,1.75,0.39,0.1
200307,2.35,5.23,-1.08,0.07
200308,2.34,2.7,1.61,0.07
200309,-1.24,0.71,0.05,0.08
200310,6.08,2.64,1.92,0.07
200311,1.35,1.99,1.8,0.07
200312,4.29,-2.76,1.58,0.08
200401,2.15,2.53,2.45,0.07
200402,1.4,-1.56,0.86,0.06
200403,-1.32,1.75,0.24,0.09
200404,-1.83,-1.73,-3.07,0.08
200405,1.17,-0.24,-0.29,0.06
200406,1.86,2.28,1.23,0.08
200407,-4.06,-3.85,3.28,0.1
200408,0.08,-1.56,0.96,0.11
200409,1.6,3.01,-0.07,0.11
200410,1.43,0.13,-0.29,0.11
200411,4.54,3.72,1.43,0.15
200412,3.43,-0.07,-0.18,0.16
200501,-2.76,-1.72,2.01,0.16
200502,1.89,-0.55,1.63,0.16
200503,-1.97,-1.35,2.14,0.21
200504,-2.61,-3.97,0.05,0.21
200505,3.65,2.8,-0.66,0.24
200506,0.57,2.55,2.82,0.23
200507,3.92,2.87,-0.83,0.24
200508,-1.22,-0.98,1.38,0.3
200509,0.49,-0.66,0.74,0.29
200510,-2.02,-1.19,0.45,0.27
200511,3.61,0.97,-1.16,0.31
200512,-0.25,-0.46,0.24,0.32
200601,3.04,5.4,0.99,0.35
200602,-0.3,-0.37,-0.26,0.34
200603,1.46,3.49,0.68,0.37
200604,0.73,-1.41,2.37,0.36
200605,-3.57,-3.09,2.45,0.43
200606,-0.35,-0.36,0.92,0.4
200607,-0.78,-3.99,2.67,0.4
200608,2.03,1.02,-1.98,0.42
200609,1.84,-1.29,-0.04,0.41
200610,3.23,1.72,-0.3,0.41
200611,1.71,0.78,0.07,0.42
200612,0.87,-1.14,2.72,0.4
200701,1.4,0.16,-0.69,0.44
200702,-1.96,1.29,-0.17,0.38
200703,0.68,0.08,-0.83,0.43
200704,3.49,-2.18,-1.38,0.44
200705,3.24,0.27,-0.63,0.41
200706,-1.96,0.78,-1.1,0.4
200707,-3.73,-2.45,-3.55,0.4
200708,0.92,-0.17,-1.91,0.42
200709,3.22,-2.22,-2.21,0.32
200710,1.8,0.25,-2.91,0.32
200711,-4.83,-2.8,-1,0.34
200712,-0.87,0.14,-0.59,0.27
200801,-6.36,-0.89,3.67,0.21
200802,-3.09,-0.27,-0.88,0.13
200803,-0.93,0.79,0.14,0.17
200804,4.6,-1.59,-0.96,0.18
200805,1.86,3.05,-1.45,0.18
200806,-8.44,1.22,-2.77,0.17
200807,-0.77,2.47,5.27,0.15
200808,1.53,3.54,1.45,0.13
200809,-9.24,-1.18,6.07,0.15
200810,-17.23,-2.52,-2.37,0.08
200811,-7.86,-2.82,-6.31,0.03
200812,1.74,3.51,0.14,0
200901,-8.12,0.33,-11.12,0
200902,-10.1,0.23,-7.03,0.01
200903,8.95,0,3.4,0.02
200904,10.18,5.14,5.21,0.01
200905,5.21,-2.63,0.49,0
200906,0.43,2.63,-2.62,0.01
200907,7.72,1.9,4.87,0.01
200908,3.33,-1.1,7.5,0.01
200909,4.08,2.41,0.89,0.01
200910,-2.59,-4.18,-4.03,0
200911,5.56,-2.48,-0.25,0
200912,2.75,6.13,-0.11,0.01
201001,-3.36,0.37,0.33,0
201002,3.4,1.19,3.19,0
201003,6.31,1.44,2.11,0.01
201004,2,4.86,2.91,0.01
201005,-7.89,0.14,-2.39,0.01
201006,-5.57,-1.84,-4.52,0.01
201007,6.93,0.18,-0.36,0.01
201008,-4.77,-3.02,-1.9,0.01
201009,9.54,3.93,-3.23,0.01
201010,3.88,1.07,-2.46,0.01
201011,0.6,3.78,-0.95,0.01
201012,6.82,0.68,3.64,0.01
201101,1.99,-2.52,0.82,0.01
201102,3.49,1.53,1.29,0.01
201103,0.46,2.58,-1.76,0.01
201104,2.9,-0.37,-2.43,0
201105,-1.27,-0.58,-2.05,0
201106,-1.75,-0.11,-0.42,0
201107,-2.35,-1.37,-0.88,0
201108,-5.99,-3.03,-2.56,0.01
201109,-7.59,-3.35,-1.71,0
201110,11.35,3.32,0.13,0
201111,-0.28,-0.14,-0.48,0
201112,0.74,-0.66,1.68,0
201201,5.05,2.1,-0.9,0
201202,4.42,-1.84,0.46,0
201203,3.11,-0.68,1.21,0
201204,-0.85,-0.39,-0.77,0
201205,-6.19,0.16,-1.04,0.01
201206,3.89,0.78,0.58,0
201207,0.79,-2.62,-0.05,0
201208,2.55,0.47,1.12,0.01
201209,2.73,0.49,1.56,0.01
201210,-1.76,-1.09,3.61,0.01
201211,0.78,0.53,-0.83,0.01
201212,1.18,1.45,3.53,0.01
201301,5.57,0.36,0.98,0
201302,1.29,-0.42,0.13,0
201303,4.03,0.75,-0.23,0
201304,1.55,-2.4,0.53,0
201305,2.8,1.66,2.61,0
201306,-1.2,1.16,-0.09,0
201307,5.65,1.86,0.56,0
201308,-2.71,0.29,-2.66,0
201309,3.77,2.89,-1.15,0
201310,4.18,-1.53,1.21,0
201311,3.13,1.19,0.29,0
201312,2.81,-0.59,-0.05,0
201401,-3.32,0.87,-2.02,0
201402,4.65,0.31,-0.36,0
201403,0.43,-1.85,4.9,0
201404,-0.19,-4.21,1.12,0
201405,2.06,-1.9,-0.12,0
201406,2.61,3.08,-0.67,0
201407,-2.04,-4.27,0.02,0
201408,4.24,0.36,-0.42,0
201409,-1.97,-3.73,-1.38,0
201410,2.52,4.28,-1.8,0
201411,2.55,-2.04,-3.07,0
201412,-0.06,2.48,2.23,0
201501,-3.11,-0.51,-3.56,0
201502,6.14,0.52,-1.81,0
201503,-1.12,3.02,-0.41,0
201504,0.59,-3.04,1.88,0
201505,1.36,0.89,-1.1,0
201506,-1.53,2.85,-0.74,0
201507,1.54,-4.09,-4.21,0
201508,-6.04,0.44,2.73,0
201509,-3.07,-2.61,0.39,0
201510,7.75,-1.98,-0.25,0
201511,0.56,3.68,-0.49,0
201512,-2.17,-2.86,-2.45,0.01
201601,-5.77,-3.36,2.01,0.01
201602,-0.08,0.83,-0.59,0.02
201603,6.96,0.82,1.11,0.02
201604,0.92,0.69,3.28,0.01
201605,1.78,-0.27,-1.6,0.01
201606,-0.05,0.64,-1.4,0.02
201607,3.95,2.6,-1.23,0.02
201608,0.5,1.13,3.31,0.02
201609,0.25,2.04,-1.21,0.02
201610,-2.02,-4.43,4.07,0.02
201611,4.86,5.47,8.22,0.01
201612,1.82,0.11,3.51,0.03
201701,1.94,-1.06,-2.81,0.04
201702,3.57,-2.01,-1.79,0.04
201703,0.17,1.17,-3.33,0.03
201704,1.09,0.72,-2.11,0.05
201705,1.06,-2.61,-3.67,0.06
201706,0.78,2.15,1.45,0.06
201707,1.87,-1.47,-0.36,0.07
201708,0.16,-1.62,-2.19,0.09
201709,2.51,4.47,3.14,0.09
201710,2.25,-1.95,0.12,0.09
201711,3.12,-0.58,-0.09,0.08
201712,1.06,-1.29,0.17,0.09
201801,5.58,-3.09,-1.32,0.11
201802,-3.65,0.3,-1.01,0.11
201803,-2.35,4.05,-0.12,0.12
201804,0.29,1.13,0.5,0.14
201805,2.65,5.28,-3.15,0.14
201806,0.48,1.19,-2.31,0.14
201807,3.19,-2.21,0.57,0.16
201808,3.44,1.15,-3.92,0.16
201809,0.06,-2.28,-1.63,0.15
201810,-7.68,-4.78,3.46,0.19
201811,1.69,-0.71,0.34,0.18
201812,-9.55,-2.48,-1.89,0.19
201901,8.41,2.89,-0.46,0.21
201902,3.4,2.12,-2.71,0.18
201903,1.1,-3.05,-4.19,0.19
201904,3.96,-1.75,2.02,0.21
201905,-6.94,-1.18,-2.28,0.21
201906,6.93,0.22,-0.79,0.18
201907,1.19,-2.08,0.34,0.19
201908,-2.58,-2.4,-4.85,0.16
201909,1.43,-1.05,6.77,0.18
201910,2.06,0.24,-1.88,0.15
201911,3.87,0.91,-2.05,0.12
201912,2.77,0.67,1.91,0.14
202001,-0.11,-3.08,-6.27,0.13
202002,-8.13,1.02,-3.92,0.12
202003,-13.38,-5.03,-13.96,0.12
202004,13.65,2.75,-1.39,0
202005,5.58,2.49,-5.05,0.01
202006,2.46,2.71,-2.35,0.01
202007,5.77,-2.18,-1.39,0.01
202008,7.63,-0.25,-2.94,0.01
202009,-3.63,0.06,-2.51,0.01
202010,-2.1,4.44,4.03,0.01
202011,12.47,5.48,2.11,0.01
202012,4.63,4.81,-1.36,0.01